student_id,gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,overall_score,grade
100000,Male,4.54,69.98,36.47,70.7,53.1,17.96,Yes,No,Master,8.09,52.348,D
100001,Female,5.26,84.8,34.25,27.92,87.17,11.29,No,Yes,Bachelor,4.73,53.948499999999996,D
100002,Male,8.69,73.76,72.29,70.92,99.61,76.1,No,Yes,PhD,8.73,82.03750000000001,B
100003,Male,4.06,45.0,97.63,31.73,88.85,33.55,No,No,Bachelor,8.22,66.411,C
100004,Male,8.83,51.13,65.19,78.28,54.23,88.99,No,No,Bachelor,8.59,65.60050000000001,C
100005,Female,1.79,53.16,33.61,54.26,79.79,58.23,No,No,Bachelor,5.43,59.3525,C
100006,Male,7.99,55.47,45.49,87.83,67.37,53.07,No,Yes,High School,5.68,65.489,C
100007,Male,8.63,73.92,47.14,95.69,85.06,79.55,Yes,No,Master,6.35,78.46849999999999,B
100008,Male,2.64,70.24,53.65,56.28,40.72,76.7,No,No,Bachelor,5.12,53.746,D
100009,Female,4.87,52.19,33.05,59.54,74.67,73.38,Yes,No,Bachelor,6.33,60.186499999999995,C
100010,Male,2.49,44.05,93.34,69.26,84.16,72.09,Yes,Yes,Bachelor,4.05,77.053,B
100011,Male,7.36,50.29,66.09,39.78,83.29,56.39,No,Yes,Master,8.39,62.9825,C
100012,Male,5.82,99.06,76.97,94.55,97.45,93.38,Yes,No,PhD,4.81,92.38300000000001,A
100013,Male,6.72,68.11,34.7,57.47,34.09,90.16,Yes,No,High School,6.5,49.066,D
100014,Female,2.77,92.04,33.79,37.51,54.2,39.65,No,No,High School,8.64,48.274499999999996,D
100015,Male,2.91,90.93,71.05,82.2,63.36,82.42,Yes,No,Bachelor,8.1,74.27100000000002,B
100016,Female,1.37,70.69,92.11,41.44,51.68,90.2,No,No,PhD,7.88,62.959,C
100017,Female,3.9,82.4,66.99,35.76,51.69,65.64,No,No,PhD,7.03,55.2335,C
100018,Female,6.04,51.57,91.45,67.22,42.33,60.0,Yes,No,PhD,6.18,61.067499999999995,C
100019,Male,8.72,81.3,86.77,75.36,86.91,70.47,Yes,No,PhD,6.23,81.78949999999999,B
100020,Female,7.0,56.34,35.31,67.72,93.56,24.68,Yes,Yes,Bachelor,4.43,64.84,C
100021,Male,4.92,89.92,44.14,74.24,35.76,17.86,No,No,High School,4.32,50.682,D
100022,Female,9.58,45.02,76.04,33.66,40.84,83.81,Yes,Yes,Master,8.22,50.800000000000004,D
100023,Female,7.47,86.39,61.05,60.7,45.99,61.6,No,No,Bachelor,6.04,58.280499999999996,C
100024,Female,9.37,46.0,50.35,51.78,65.63,21.03,No,No,Master,4.27,52.688500000000005,D
100025,Female,5.75,92.87,59.3,98.0,85.38,47.47,No,Yes,High School,7.32,80.277,B
100026,Female,3.33,58.25,61.16,28.72,35.0,36.84,No,No,Bachelor,7.42,41.171,D
100027,Female,1.48,79.26,93.74,47.37,74.58,88.79,Yes,No,Bachelor,5.14,73.4985,B
100028,Female,7.53,69.25,37.24,95.64,40.45,55.65,Yes,No,PhD,6.05,58.0055,C
100029,Female,2.09,61.98,49.58,98.76,98.0,61.98,No,Yes,Master,6.87,81.30200000000002,B
100030,Male,3.72,78.73,67.63,86.87,92.91,31.18,No,Yes,Master,6.98,78.753,B
100031,Male,5.79,96.85,78.88,30.7,96.47,81.92,No,No,Master,6.56,75.0925,B
100032,Female,6.08,42.48,74.14,67.1,37.43,93.71,Yes,Yes,PhD,5.82,58.3225,C
100033,Female,6.41,95.13,95.91,55.01,64.16,81.32,Yes,Yes,PhD,4.34,73.0355,B
100034,Female,2.5,76.54,85.69,85.48,41.57,54.36,Yes,Yes,PhD,4.11,66.14750000000001,C
100035,Male,4.42,88.44,69.0,29.13,72.02,85.16,Yes,Yes,PhD,6.3,63.649499999999996,C
100036,Female,6.55,63.03,45.03,39.78,46.29,26.92,Yes,No,Bachelor,5.01,44.14750000000001,D
100037,Male,9.73,68.31,61.56,61.69,83.94,20.21,No,No,High School,8.69,65.9655,C
100038,Male,7.55,92.13,78.54,36.82,75.08,49.44,Yes,No,High School,7.2,65.348,C
100039,Male,9.3,64.89,88.66,76.95,70.01,26.34,Yes,No,High School,6.93,70.596,B
100040,Male,7.86,72.08,97.18,86.56,87.77,33.32,Yes,No,Master,6.03,82.3355,B
100041,Male,6.33,41.21,72.38,77.84,65.02,62.66,Yes,No,Master,5.65,67.08,C
100042,Female,2.73,49.52,66.88,58.02,48.89,46.35,Yes,No,High School,4.9,54.579499999999996,D
100043,Female,7.0,78.5,31.24,90.88,73.45,87.93,Yes,Yes,Bachelor,4.3,71.3185,B
100044,Female,6.61,83.02,35.05,35.33,96.99,30.31,No,Yes,PhD,7.17,61.12199999999999,C
100045,Female,6.42,74.96,40.93,44.53,72.08,99.71,No,No,High School,7.9,62.0135,C
100046,Female,5.41,48.6,33.83,61.72,74.07,42.35,Yes,No,Master,8.29,57.21549999999999,C
100047,Male,5.76,66.72,58.06,29.6,95.43,56.39,No,No,Master,7.62,64.7235,C
100048,Female,4.01,61.31,53.58,32.18,66.07,21.91,No,No,PhD,8.48,50.2075,D
100049,Female,5.67,69.74,74.61,54.81,99.75,62.14,Yes,Yes,Master,8.91,76.725,B
100050,Male,2.78,92.22,67.5,95.79,41.18,96.52,Yes,No,Master,8.81,70.7345,B
100051,Female,8.25,86.55,71.72,93.13,67.59,77.45,Yes,Yes,PhD,6.96,77.683,B
100052,Male,2.67,45.04,63.04,59.95,44.9,31.96,No,No,PhD,5.12,51.01049999999999,D
100053,Female,1.76,93.42,49.44,35.66,61.73,49.84,Yes,No,High School,4.53,54.7345,D
100054,Male,4.93,68.31,96.7,38.36,41.94,48.29,No,Yes,High School,8.97,55.269000000000005,C
